Date,Open,High,Low,Close,Adj Close,Volume,,41.2612
11/26/2018,33.66,34.439999,33.630001,33.740002,32.374138,3560800,,29.294302
11/27/2018,33.580002,34,32.580002,32.639999,31.318665,3816200,,
11/28/2018,32.66,32.990002,32.080002,32.360001,31.050005,4946000,,
11/29/2018,32.400002,33.700001,32.369999,33.450001,32.095879,5788100,,
11/30/2018,33.029999,33.639999,32.630001,33.389999,32.038303,5097400,,
12/3/2018,37.490002,38.740002,35.689999,36.580002,35.099171,5826500,,
12/4/2018,36.330002,37.029999,35.689999,35.810001,34.360336,3634000,,
12/5/2018,36.529999,37.639999,35.939999,37.330002,35.81881,2402900,,
12/6/2018,36.189999,36.549999,35.080002,35.240002,33.813416,5660800,,
12/7/2018,36.150002,37.330002,35.740002,35.830002,34.709488,7570200,,
12/10/2018,35.59,36.18,35.009998,35.98,34.854797,4867600,,
12/11/2018,36.25,37.23,34.77,34.799999,33.711697,4808300,,
12/12/2018,35.299999,36.389999,35.049999,35.560001,34.447929,3610100,,
12/13/2018,35.619999,35.849998,35.139999,35.299999,34.19606,3030800,,
12/14/2018,34.919998,35.16,34.049999,34.279999,33.207958,2491400,,
12/17/2018,34.16,34.509998,33,33.150002,32.1133,3201000,,
12/18/2018,33.09,33.470001,32.799999,33,31.967989,4916000,,
12/19/2018,33.029999,33.5,32.400002,32.59,31.57081,5609700,,
12/20/2018,32.32,32.91,31.889999,32.400002,31.386755,6374200,,
12/21/2018,32.369999,32.849998,31.42,31.59,30.602085,13623600,,
12/24/2018,31.59,31.59,30.110001,30.24,29.294302,2685800,,
12/27/2018,31.469999,32.299999,31.049999,32.27,31.260817,3567100,,
12/28/2018,32.41,33.490002,32.369999,32.810001,31.783934,3323900,,
12/31/2018,33.09,33.330002,32.310001,32.939999,31.909863,1696000,,
1/2/2019,31.77,33.639999,31.52,33.59,32.539539,3534300,,
1/3/2019,33.419998,33.82,33.07,33.630001,32.578289,3075700,,
1/4/2019,34.189999,34.810001,34.040001,34.639999,33.556702,4099900,,
1/7/2019,34.59,34.77,33.970001,34.470001,33.392017,4288100,,
1/8/2019,34.700001,35.419998,34.240002,34.529999,33.450138,3729100,,
1/9/2019,34.810001,35.16,34.119999,35.09,33.99263,4205400,,
1/10/2019,34.689999,35.880001,34.59,35.599998,34.486679,5608400,,
1/11/2019,35.439999,36.27,35.09,36.049999,34.922604,4047300,,
1/14/2019,35.73,36.619999,35.630001,36.279999,35.145412,2377700,,
1/15/2019,36.630001,37.25,36.43,37.200001,36.036644,3896200,,
1/16/2019,37,37.330002,36.25,36.59,35.445721,3270800,,
1/17/2019,36.310001,36.68,35.950001,36.41,35.271343,3073400,,
1/18/2019,36.700001,36.91,36.259998,36.509998,35.368217,3252400,,
1/21/2019,36.459999,36.650002,36.169998,36.48,35.339157,746700,,
1/22/2019,36,36.060001,34.290001,34.34,33.266083,4178700,,
1/23/2019,34.599998,34.93,33.849998,34.25,33.178898,3270200,,
1/24/2019,34.290001,35.119999,33.98,34.959999,33.866688,3665000,,
1/25/2019,35.099998,35.150002,34.619999,34.91,33.818256,2555600,,
1/28/2019,34.400002,34.919998,34.040001,34.759998,33.672943,3112500,,
1/29/2019,35.119999,35.720001,35.060001,35.330002,34.225124,3351800,,
1/30/2019,35.540001,35.98,35.34,35.740002,34.622303,2285600,,
1/31/2019,35.970001,36.080002,35.200001,35.27,34.167,2991000,,
2/1/2019,35.509998,35.580002,34.84,35,33.905441,2010700,,
2/4/2019,35.080002,35.740002,34.810001,35.57,34.457615,2613400,,
2/5/2019,35.450001,36.099998,35.450001,35.75,34.631992,2324000,,
2/6/2019,35.470001,35.689999,35.16,35.220001,34.118561,2658300,,
2/7/2019,35.09,35.240002,34.07,34.490002,33.411396,2665200,,
2/8/2019,34.560001,34.610001,33.889999,34.139999,33.072334,1888800,,
2/11/2019,33.880001,34.939999,33.759998,34.700001,33.614826,2356500,,
2/12/2019,35.169998,35.849998,35.150002,35.66,34.5448,2813100,,
2/13/2019,35.779999,36.389999,35.439999,35.450001,34.34137,2922400,,
2/14/2019,35.41,35.810001,35.41,35.41,34.302616,2862000,,
2/15/2019,35.860001,36.91,35.799999,36.869999,35.716961,2473900,,
2/19/2019,36.740002,37.25,36.630001,37.169998,36.00758,4810700,,
2/20/2019,37.029999,37.34,36.970001,37.27,36.10445,1972700,,
2/21/2019,37.110001,37.34,36.849998,36.919998,35.765396,4674700,,
2/22/2019,37.25,37.380001,36.799999,36.889999,35.736336,1988800,,
2/25/2019,36.68,37.18,36.66,37.009998,35.852581,1439000,,
2/26/2019,37.029999,37.459999,36.990002,37.240002,36.075394,2791000,,
2/27/2019,37.48,38.139999,37.34,37.59,36.414444,4053200,,
2/28/2019,37.580002,37.810001,37.110001,37.380001,36.211014,2851800,,
3/1/2019,37.610001,38.450001,37.610001,38.029999,36.840687,3354200,,
3/4/2019,37.5,37.509998,35.52,36.310001,35.174477,7547500,,
3/5/2019,36.599998,36.650002,36.150002,36.450001,35.310093,4846400,,
3/6/2019,36.380001,36.439999,35.66,35.830002,34.709488,4636100,,
3/7/2019,35.75,37.09,35.580002,36.77,35.62009,6144200,,
3/8/2019,35.599998,35.93,34.5,35.849998,34.728859,5038800,,
3/11/2019,36.099998,36.650002,35.869999,36.400002,35.261662,7062600,,
3/12/2019,36.580002,36.880001,36.290001,36.5,35.358532,3902600,,
3/13/2019,36.790001,37.419998,36.700001,37.09,35.930084,3941600,,
3/14/2019,37.139999,37.669998,37.080002,37.41,36.240074,2505300,,
3/15/2019,37.189999,37.57,36.77,37,35.842896,8903700,,
3/18/2019,37.080002,37.669998,36.869999,37.389999,36.220699,3308800,,
3/19/2019,37.59,37.900002,36.900002,36.939999,35.784775,8287900,,
3/20/2019,36.990002,37.91,36.75,37.740002,36.559753,3625100,,
3/21/2019,37.27,38.220001,37.27,38.02,37.200638,10357700,,
3/22/2019,37.599998,37.75,36.779999,37.02,36.222187,3554500,,
3/25/2019,36.849998,37.080002,36.18,36.23,35.449215,4348400,,
3/26/2019,36.130001,37.599998,36.130001,37.139999,36.339603,5486200,,
3/27/2019,37.220001,37.389999,36.290001,36.419998,35.635117,10115100,,
3/28/2019,36.32,37.02,36.220001,36.91,36.114559,5019700,,
3/29/2019,37.27,37.43,36.529999,36.689999,35.8993,2511000,,
4/1/2019,36.98,37.459999,36.93,37.18,36.378742,4668800,,
4/2/2019,37.209999,37.43,36.880001,37.150002,36.349388,2391100,,
4/3/2019,37.43,37.860001,36.75,37.009998,36.212402,3530200,,
4/4/2019,37.009998,37.209999,36.200001,37,36.202618,5066000,,
4/5/2019,37.200001,38.43,37.080002,38.41,37.58223,3594400,,
4/8/2019,38.5,39.16,38.41,38.93,38.091026,3757700,,
4/9/2019,38.75,39.16,38.490002,39.110001,38.267147,2908300,,
4/10/2019,39.25,39.619999,39.080002,39.52,38.668312,3928500,,
4/11/2019,39.200001,40.099998,39.099998,39.59,38.736801,3766500,,
4/12/2019,40.220001,40.59,39.709999,39.759998,38.903137,2961900,,
4/15/2019,39.700001,39.98,39.43,39.610001,38.756371,2067300,,
4/16/2019,39.709999,40.549999,39.529999,40.509998,39.636974,2704700,,
4/17/2019,40.630001,41.830002,40.349998,41.799999,40.899174,6546900,,
4/18/2019,41.830002,42,41.5,41.939999,41.03616,3439500,,
4/22/2019,42.299999,42.490002,41.470001,41.490002,40.595856,3087700,,
4/23/2019,41.5,42.560001,41.34,42.169998,41.2612,4967300,,
4/24/2019,42.169998,42.169998,40.91,41.25,40.361031,3391000,,
4/25/2019,41.049999,41.330002,40.669998,40.709999,39.832664,2417100,,
4/26/2019,40.490002,40.52,39.43,40.509998,39.636974,2895800,,
4/29/2019,40.419998,40.880001,40.41,40.669998,39.793526,1564900,,
4/30/2019,40.880001,41.049999,40.060001,40.220001,39.353226,1850300,,
5/1/2019,40.119999,40.34,38.889999,38.919998,38.081238,2992200,,
5/2/2019,38.459999,38.759998,37.759998,37.779999,36.965809,3094800,,
5/3/2019,38.07,38.25,37.57,37.73,36.916889,1958400,,
